PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
21,CBPF-SOM-23-R-INGO-26572,11,100.00,1##2##3##,Middle Shabelle,Jowhar,Shamiindo,,,,96##128##32##64,96##128##32##64,96##128##32##64,,,,"2.82500000,45.93700000","2.78087500,45.49681800","2.76553000,45.58878000",,,,8000.00,8000.00,8000.00,,,,2023,326##361##247##316,326##361##247##316,326##361##247##316,,,
21,CBPF-SOM-23-R-INGO-26580,7,100.00,1##2##,Hiraan,Belet Weyne,,,,,4591##13987##7807##7815,4591##13987##7807##7815,,,,,"4.22300000,45.37600000","4.73598400,45.20426800",,,,,400000.19,400000.19,,,,,2023,9801##13024##7641##9228,9801##13024##7641##9228,,,,
21,CBPF-SOM-23-R-INGO-26594,7,100.00,1##,Gedo,,,,,,2000##5700##6500##7800,,,,,,"2.80200000,41.68800000",,,,,,290950.16,,,,,,2023,2871##7793##2743##3668,,,,,
21,CBPF-SOM-23-R-INGO-26596,7,100.00,1##2##,Gedo,Doolow,,,,,5625##8206##7932##8237,5625##8206##7932##8237,,,,,"2.80200000,41.68800000","4.16358000,42.07617000",,,,,350000.03,350000.03,,,,,2023,7368##10063##6376##6599,7368##10063##6376##6599,,,,
21,CBPF-SOM-23-R-INGO-26651,6,100.00,1##2##,Hiraan,Belet Weyne,,,,,2516##3032##1152##1880,2516##3032##1152##1880,,,,,"4.22300000,45.37600000","4.73598400,45.20426800",,,,,499999.87,499999.87,,,,,2023,2516##3032##1152##1880,2516##3032##1152##1880,,,,
21,CBPF-SOM-23-R-INGO-26685,6,100.00,1##2##,Gedo,Baardheere,,,,,2052##2223##1710##2565,2052##2223##1710##2565,,,,,"2.80200000,41.68800000","2.33993500,42.28598100",,,,,500000.00,500000.00,,,,,2023,2162##2186##3106##3106,2162##2186##3106##3106,,,,
21,CBPF-SOM-23-R-INGO-27080,7,100.00,1##2##3##,Bay,Baidoa,Baidoa/Bardaale/Laanta 3A,,,,273##1055##551##632,273##1055##551##632,273##1055##551##632,,,,"2.67600000,43.73800000","3.11718000,43.64690000","3.06958000,43.39389000",,,,64000.00,64000.00,64000.00,,,,2023,48##109##36##72,48##109##36##72,48##109##36##72,,,
21,CBPF-SOM-23-R-INGO-27080,7,100.00,1##2##3##,Bay,Baidoa,Baidoa/Hawl Wadaag/Laanta,,,,191##738##386##442,191##738##386##442,191##738##386##442,,,,"2.67600000,43.73800000","3.11718000,43.64690000","3.11552000,43.64563000",,,,40000.00,40000.00,40000.00,,,,2023,41##92##30##61,41##92##30##61,41##92##30##61,,,
21,CBPF-SOM-23-R-INGO-27080,7,100.00,1##2##3##,Bay,Baidoa,Baidoa/Horseed/Laanta 6Aa,,,,376##1071##721##771,376##1071##721##771,376##1071##721##771,,,,"2.67600000,43.73800000","3.11718000,43.64690000","3.07322000,43.39371000",,,,105200.00,105200.00,105200.00,,,,2023,58##51##80##47,58##51##80##47,58##51##80##47,,,
21,CBPF-SOM-23-R-INGO-27080,7,100.00,1##2##3##,Bay,Baidoa,Banbusul,,,,273##1055##552##632,273##1055##552##632,273##1055##552##632,,,,"2.67600000,43.73800000","3.11718000,43.64690000","3.55817500,43.58348800",,,,56000.00,56000.00,56000.00,,,,2023,80##183##59##122,80##183##59##122,80##183##59##122,,,
