PooledFundId,PooledFundName,CHFId,CHFProjectCode,OrganizationName,OrganizationAcronym,OrganizationType,ProjectStatus,ClusterId,ClusterName,LocationBeneficiaryId,ActivityCode,StandardActivityID,GlobalStandardActivityID,GlobalClusterId
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6384,Camp Coordination and Camp Management	,93248,Activity 1.1.3,,8,1
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6384,Camp Coordination and Camp Management	,93247,Activity 1.1.3,,8,1
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6384,Camp Coordination and Camp Management	,93246,Activity 1.1.3,,8,1
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6384,Camp Coordination and Camp Management	,93239,Activity 1.1.3,,8,1
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93251,Activity 1.1.4,,46,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93250,Activity 1.1.4,,46,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93250,Activity 1.1.1,,80,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93248,Activity 1.1.1,,80,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93239,Activity 1.1.1,,80,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93238,Activity 1.1.1,,80,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93237,Activity 1.1.1,,80,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93236,Activity 1.1.1,,80,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93254,Activity 1.1.1,,80,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93252,Activity 1.1.1,,80,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93252,Activity 1.1.2,,73,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93251,Activity 1.1.2,,73,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93250,Activity 1.1.2,,73,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93248,Activity 1.1.2,,73,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93239,Activity 1.1.2,,73,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93238,Activity 1.1.2,,73,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93237,Activity 1.1.2,,73,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93236,Activity 1.1.2,,73,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93239,Activity 1.1.3,,72,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93238,Activity 1.1.3,,72,10
